gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,1,-0.4656833638455588,1,0,0,2,0,2,0,0,2,1,0,3,-0.0004737233752722791,-0.4217302504376971
0,0,0,0,0.8855367868020159,1,2,1,0,2,0,0,2,2,2,1,0,1.074753860742306,1.2542455613848753
1,0,1,0,-1.2846046672683313,0,1,0,0,0,0,0,0,0,0,1,2,-1.3764991324160054,-1.0021009233068454
1,0,0,0,-1.1617664717549154,1,0,1,0,0,0,0,0,0,0,1,2,0.17734598528095805,-0.9073131597019936
1,0,0,1,-1.32555073243947,1,2,0,2,2,0,2,0,0,2,1,0,-0.09852384310160459,
1,0,0,0,-1.0389282762414995,1,0,1,0,0,0,0,0,0,0,1,2,0.15574172161244393,-0.7820784174846739
1,0,1,1,-0.015276646963033904,1,0,2,1,1,1,1,1,1,2,0,3,-1.5260671116595634,-0.7411583852711108
1,0,1,1,1.6225659598825113,1,0,2,1,1,1,1,1,1,2,1,1,-1.4978153822468916,-0.3873282579125794
1,0,0,0,-0.547575494187836,0,1,0,0,0,2,0,2,0,0,1,2,-0.8380544071391968,-0.688395406369389
1,0,0,1,-0.9160900807280837,1,0,2,1,1,1,1,1,1,1,1,0,-1.4928297829387727,-0.9154662330749982
1,1,1,0,-0.4656833638455588,1,0,1,0,0,0,0,0,0,0,1,2,0.14078492368808804,-0.3607700080633878
0,1,0,0,0.5170222002617683,1,2,0,2,0,0,2,0,2,0,1,2,0.17236038597283926,0.3408362030108473
1,1,0,0,-0.015276646963033904,1,0,2,1,1,1,1,1,1,1,0,1,-1.4978153822468916,-0.7527582864115646
0,0,1,0,0.3122918744060751,1,2,1,2,0,2,0,2,2,1,0,0,1.3589330213050659,0.8561369542444972
0,0,0,0,0.5989143306040455,0,1,0,2,0,2,2,0,0,2,0,3,-0.7632704175174179,-0.18378865923474816
0,0,0,0,0.1485076137215206,0,1,0,2,2,2,2,0,2,2,1,3,-0.3910123358445623,-0.17229923334325095
0,0,1,1,1.4997277643690954,1,2,1,2,2,2,2,2,0,1,1,1,1.3373287576365518,2.184601822948862
0,0,1,0,1.5816198947113727,1,0,0,0,2,2,2,2,2,2,1,1,0.52633793684926,1.5086037745827905
0,0,1,0,1.5816198947113727,1,2,2,1,1,1,1,1,1,2,1,0,-1.3366143379510567,-0.2567465136457554
1,0,1,0,0.10756154855038198,0,1,0,2,0,2,0,2,2,1,0,1,-0.38935046940852286,-0.15919686881698583
1,0,0,0,-1.202712536926054,1,0,0,0,0,0,0,0,2,0,0,3,-0.33949447632733687,-0.9289000233481334
1,1,1,0,1.6225659598825113,1,2,1,0,2,2,2,2,2,2,0,1,1.4902204697521892,2.477869418829328
1,0,1,1,1.6225659598825113,1,2,0,2,2,2,2,2,2,2,1,1,0.8553874911850873,1.8341964283079881
0,0,1,1,1.4587816991979567,1,2,0,2,2,2,0,2,0,1,1,1,0.2704105056991718,1.269071339794865
0,0,0,0,0.39418400474835236,0,1,0,2,2,2,2,0,2,1,1,2,-0.33617074345525777,0.025318891990500927
1,1,0,0,-0.4656833638455588,1,0,2,1,1,1,1,1,1,1,0,0,-1.474549252142338,-0.8226449289015756
0,1,0,0,-0.997982211070361,1,0,1,0,0,2,0,2,2,0,1,2,0.9052434842662732,-0.6898978697552001
1,1,1,0,-0.9160900807280837,1,0,1,2,0,0,0,0,0,0,0,2,0.34685636175699025,-0.6940959292155549
0,0,0,0,1.5816198947113727,1,2,1,2,2,2,0,2,2,2,1,1,1.3921703500258567,2.2060119261966706
0,1,0,0,0.5579682654329069,1,0,1,0,2,2,0,2,0,1,1,0,0.8786536212896409,0.8109746724709967
0,0,1,1,-1.202712536926054,1,0,1,0,2,0,2,0,0,0,1,2,0.5030718067447064,-0.9058327913659735
0,1,0,0,-0.8341979503858065,1,2,1,0,2,0,0,2,0,0,1,2,0.8786536212896409,-0.5288028617265345
0,0,1,0,-0.2609530379898657,0,1,0,2,2,2,0,2,0,1,0,0,-0.5655083116287133,-0.4863803661271602
1,0,0,0,-1.202712536926054,1,0,0,2,0,0,0,0,0,0,1,3,-0.48906245557089484,-0.9413837264802409
0,0,0,0,0.6808064609463228,1,0,0,0,0,2,2,2,2,2,1,0,0.31860463234431835,0.6322478147088411
1,0,0,0,0.025669418208104724,1,0,1,0,2,0,2,0,0,2,0,0,0.5230142039771807,0.15906022837748673
1,0,1,0,0.39418400474835236,1,2,1,2,0,2,0,0,2,0,1,2,0.9816893403240922,0.7615922361873498
1,0,1,1,-0.05622271213417253,1,2,0,2,2,0,2,0,2,1,1,0,0.3451944953209508,0.023573383056985087
1,1,1,1,1.4587816991979567,1,2,1,0,0,2,2,2,2,1,1,1,1.405465281514173,2.24867746734375
1,1,1,1,1.3768895688556795,1,2,1,2,2,2,2,2,2,1,1,2,1.7079249728733679,2.4618726027803968
1,0,1,1,1.0493210474865704,1,0,2,1,1,1,1,1,1,1,1,2,-1.506124714427089,-0.522483677486211
1,0,1,1,0.10756154855038198,1,0,2,1,1,1,1,1,1,2,0,3,-1.4878441836306542,-0.7228857790936719
1,0,0,0,-1.2846046672683313,1,0,2,1,1,1,1,1,1,0,0,0,-1.484520450758575,-1.0035371015432826
0,0,0,0,0.3122918744060751,1,0,1,0,2,0,0,0,0,0,0,1,0.3302376973965949,0.30073368763956376
0,0,1,0,-0.7932518852146678,1,2,0,2,2,0,2,2,0,0,1,2,0.37676995760570203,-0.5787597693047559
1,0,1,0,1.0083749823154318,1,0,0,2,0,0,2,0,0,0,0,2,-0.30459528117050655,0.3890696967053443
0,0,0,0,-1.2846046672683313,1,0,1,0,0,2,0,0,0,0,0,2,0.34685636175699025,-0.9791883566732249
1,0,0,0,-1.2846046672683313,1,0,0,0,0,0,0,0,0,0,1,3,-0.6369685683784132,-0.9922686261496988
0,0,0,0,0.5579682654329069,1,0,0,0,0,2,2,0,0,2,0,1,-0.349465674943574,0.07467923322435636
0,1,1,1,0.3122918744060751,1,2,1,0,0,0,0,2,2,0,1,1,0.9866749396322104,0.5962549785987468
1,0,1,1,-0.4656833638455588,1,2,0,2,2,0,2,2,0,1,0,3,0.41997848494272977,-0.2943743834404088
